Event Name,Event ID,EventIntroText,EventText,EventImagePathname
Los Angeles Angels of Anaheim,29,"Now, as the team begins their 2008 season, manager Mike Scioscia has created a top-notch team, with players such as Jered Weaver, Francisco Rodriguez, Scot Shields, and Darren Oliver, that promises to give fans another exciting ride and dreams of another division championship.  The Angels have struggled to build a solid fan base and can now boast fans who turn up in droves at baseball venues across the country to watch the Angels strong pitching staff and hard-working offensive players as they dream of a division title and another World Series win. ","<p>The Los Angeles Angels of Anaheim, previously known as the Anaheim Angels and the California Angels, were perhaps the least favored team in Major League Baseball until just a few years ago.  The team was considered less than mediocre for years, falling victim to poor planning, lackluster players, and little fan support, until, in the late 1990s, the team acquired a core group of players that strengthened the Angels’ bullpen and caught the notice of baseball fans.  As hopeful fans snatched up tickets for Angels games at their home field of Angel Stadium the team made a comeback that had some daring to dream of a championship win in 1995.  But, alas, the Angels’ victory was snatched away by the Seattle Mariners and, once again, the team made a dismal showing in the American League Division for the next few years. 
</p><br/>
<p>Then, in 2002, the team made a remarkable comeback, battling the Oakland A’s for the division title and winning a coveted wild card spot for the playoffs.  No one imagined the team, long viewed as the underdog of Major League Baseball, would make it through the playoffs and into the World Series, facing off against the heavily favored San Francisco Giants.  But, the Los Angeles Angels gave it their all, treating fans across the country to one of the most exciting World Series championships in history and earning top honors as the World Series champions! </p>",Images/anaheim_angels_tickets.jpg
Florida Marlins,293,"As the 2008 season approaches, Florida Marlin fans hope their team may perform well enough to earn another Wild Card spot for the playoffs, and, if they are lucky, another World Series title for their favorite team!","<p>The Florida Marlins joined the National League as an expansion team, along with the Colorado Rockies, in 1993.  Although they have one of the shortest team histories in Major League Baseball, the team has been a surprising success, with two World Series championships under their belts, which is more than some of Major League Baseball’s most established teams!  Their first World Series title was won in 1997.  The low number of fans who bought Florida Marlins tickets were pleasantly surprised when the team, thanks in large part to their new manager, Jim Leyland, managed to win a wild card spot in the playoffs and went on to win the World Series, beating out the Cleveland Indians in a dramatic, and surprising, eleventh-inning win with Edgar Renteria’s RBI-single.   Many Major League Baseball fans still consider the 1997 World Series between the Marlins and the Indians to be one of the most memorable and exciting in baseball history.  </p> 
<br/>
<p>
Unfortunately, for players and fans alike, the Florida Marlins put for a lackluster, forgettable performance from 1998 to 2002.  But, in 2003, the team once again shocked baseball fans across the country by bringing another World Series title to Florida, beating the highly favored New York Yankees in a stunning upset in game 6. </p><br/><p>
Throughout their short history, Florida Marlins games have suffered low attendance.  Many blame that fact on the team’s venue, Pro Player Stadium, which is dated and not as fan friendly as other baseball venues across the country.  But, that will all change in the near future when the team begins playing in its brand new, state-of-the-art stadium, which is slated to open in April 2010.   As a trade-off for their new stadium, the team will then change its name to the Miami Marlins.</p>",
Los Angeles Dodgers,481,"As the team gears up for the 2008 season, fans attending Los Angeles Dodgers games at Dodger Stadium are hoping that young stars like Andruw Jones and Juan Pierre can bring another division title to Los Angeles and prove the team is still one of baseball’s strongest.","<p>The Brooklyn Dodgers struggled to be noticed by New York fans, who were more loyal to the cross-town New York Giants, for the first few years of their Major League Baseball run.   But, in the 1940s the Dodgers finally gained the respect of New Yorkers and baseball fans across the country, which they enjoyed until the team was uprooted and moved to the West Coast in 1958, where they became the Los Angeles Dodgers.   
</p><br/>
<p>
Although they finished in a dismal seventh place in their first season in California, the Los Angeles Dodgers rallied in the following year to win the World Series, the first time a California franchise was ever able to win the Series title.  The Los Angeles Dodgers’ 1959 World Series win ushered in a successful decade for the team, with the Dodgers winning pennants in 1963, 1965, and 1966, and the World Series in 1963 and 1965, thanks in large part to the contributions of players Sandy Koufax, Don Drysdale, Maury Wills, and Willie Davis.  
</p>
<br/><p>
In the 1970s, the Dodgers and the Cincinnati Reds were in a constant battle for success, with the teams winning nine out of ten Western division titles.  The Dodgers took home the pennant in 1974, 1977, and 1978, but unfortunately lost all three World Series.   
</p><br/><p>
The Los Angeles Dodgers would continue to be one of Major League Baseball’s top teams in the 1980s, winning division titles again in 1983 and 1985.   In 1988, when few fans at Los Angeles Dodger games thought their team could pull off another successful World Series, the Dodgers shocked baseball fans across the country as they won the World Series in a stunning upset in 1988, beating out the favored Oakland A’s.    
 </p><br/><p>
Their success would continue into the final decade of the twentieth century, with two division titles and a wild card spot in the 1990s.   
</p>",
Milwaukee Brewers,549,"whether taking in a Milwaukee Brewers game at Miller Park or at other baseball venues around the country, fans are hoping to watch their team bring the pennant back to Wisconsin, and maybe even a World Series title!  With the 2008 season getting ready to start, fans and players alike are dreaming of another division title for the Brewers and will turn up to cheer on their favorite players.  ","<p>The Milwaukee Brewers were born in 1967 after the Seattle Pilots were moved east and reborn as the Milwaukee Brewers.  Bud Selig purchased the team and brought them to Wisconsin after the team’s dismal season in Seattle proved Washington was not ready to be part of Major League Baseball.  And while Wisconsin was thrilled to have baseball back in the cheese state after the loss of the Braves in 1965, the Brewers had less than stellar seasons for most of the 1970s.  But that all changed in 1977, when the team seemed to turn around, and from 1977 to 1979, the Brewers led the American League in runs scored, thanks to players like Paul Molitor, Cecil Cooper, Sal Bando, and Jim Gantner.  Although the Milwaukee Brewers were unable to make it to the playoffs, they still managed to become one of the most popular teams in Major League Baseball!  Suddenly, tickets to Milwaukee Brewers games were selling out and attendance at Milwaukee Brewers games soared. </p> 
<br/>
<p>
From 1980 to 1983, the Milwaukee Brewers boasted one of the best records in the American League.  In 1981, the team won the second-half American League East title and in 1982, they managed to bring home the division title.  But, despite their outstanding performance in the playoffs, the team lost the World Series to the Cardinals in the seventh game of the series.  However the rest of the 1980s, and the majority of the 1990s, were a series of disappointing seasons for the Milwaukee Brewers and their fans, with the team only managing to pull out a few winning seasons.  </p>
<br/>
<p>
In 1998, the team made headlines, as well as Major League Baseball history, when they became the first team in more than ninety years to switch leagues.  Now an American League team, the Brewers have managed to build their fan base, despite their lack of championships.   In 2001, the Milwaukee Brewers played their inaugural game and their new home field, Miller Park. 
</p>",
Pittsburgh Pirates,685,"As the team gears up for its 2008 season, fans attending Pittsburgh Pirates games at PNC Park hope their team can improve over its disappointing sixth place finish in 2007.  With new coaching staff and young players, fans and players are hopeful the Pirates can return to their former glory and bring home another World Series title!    ","<p>The Pittsburgh Pirates boast one of the most exciting and best teams in National League history.  Numerous Hall of Fame players have passed through the Pirates’ lineup, including Honus Wagner, Fred Clarke, Tommy Leach, and Vic Willis.  The Pittsburgh Pirates brought home their first of five World Series titles in 1909, defeating legendary player Ty Cobb and the Detroit Tigers.  1925 brought the team their second Series win, beating out the Washington Senators.  </p>  
<br/>
<p>
From the mid-1920s to 1960, the Pirates faded into Major League Baseball background, with no pennant or World Series wins.   But, that made no difference to fans, who kept turning up with their Pittsburgh Pirates tickets in order to cheer on their favorite team.  In 1960, fans’ patience was rewarded when the Pirates, thanks to a dramatic home run by Bill Mazersoki, beat the famed New York Yankees for the World Series championship.  In the 1960s, the Pirates led MLB, thanks in large part to the outstanding batting and outfielding skills of Roberto Clemente. In 1966, Clemente was voted National League Most Valuable Player after hitting 29 home runs and batting in 119 more.  Tragically, the baseball legend’s career ended prematurely after he was killed in a plane crash in 1972.  </p>
<br/>
<p>
The 1970s became the most successful decades in Pittsburgh Pirates’ history, with the team finishing first in the league six times, with two more seasons in second place, and once in third.  The Pittsburgh Pirates faced off against their leading rivals, the Cincinnati Reds, for the league pennant three times in the 1970s, although they ultimately lost each title.   </p>
<br/>
<p>
The 1980s were a decade of change for the Pirates as they were unable to repeat their stunning 1970s performance.  The team slowly began to change over their line up, replacing old favorites with new, younger players, including Barry Bonds, who went on to become one of the greatest baseball players in the last half of the twentieth century.  And, thanks in large part to Bonds’ talent, the Pirates went on to lead three more National League titles in the early 1990s, sealing their fate as one of the League’s greatest teams. </p>",
San Diego Padres,757,"In the 2008 season, fans are hopeful that the team, led by star pitcher Greg Maddux, Luis Rodriguez, Mauro Zarate, and Milton Bradley, might be able to move ahead in the National League standings and bring home another division title.  So as they cheer on the San Diego Padres at Petco Park or at other baseball venues across the country, fans will always be hopeful that their team can put forth the effort needed to make their dreams come true.  ","<p>The San Diego Padres may not be one of Major League Baseball’s oldest or most popular teams, but fan attending San Diego Padres games at Petco Park are still thrilled to watch their favorite team and its star players slug it out against baseball’s greatest teams.  </p> 
<br/>
<p>
The Padres joined MLB ranks in 1969 when they joined the National League.  Throughout the 1970s, the team struggled to build their team and failed to have even one winning season in the entire decade.  An almost move to Washington in 1973 did not do much to help the team win fans over, but, thanks to players like Nate Colbert, Cito Gaston, Johnny Grubb, Dave Winfield, Ozzie Smith, Randy Jones, Gene Richards and Gaylord Perry the team did not slip into total obscurity.  </p> 
<br/>
<p>
Finally, in 1984, the San Diego Padres managed to win the National League West division and advance to the World Series, where they faced off against the legendary Detroit Tigers.   Although the team ultimately lost the Series, they managed to win fans’ hearts and bring in more spectators for San Diego Padres games.  </p> 
<br/>
<p>
In 1998, the San Diego Padres finally managed to advance to the World Series again, where they battled against the always-strong New York Yankees.  They lost the Series to the Yankees, but still made fans proud with their division title.  Since that World Series appearance, the San Diego Padres have had no division titles, much less notable seasons.  </p>",
Detroit Tigers,241,"Detroit Tigers fans are pinning their hopes on the 2008 season. They have resigned right-handed pitchers Francisco Cruceta and Todd Jones, as well as signing All-Star shortstop Edgar Renteria from the Atlanta Braves and outfielder Jacque Jones from the Chicago Cubs.  The team’s manager and owners, as well as their loyal fans, are hoping the duo can help the team top last year’s second place American League finish.  But no matter what the team does, their fans will still turn up at Comericka Park, and baseball venues across the country, to cheer on their favorite team and keep hoping for that World Series win!","<p>The Detroit Tigers have a long, rich history in Major League Baseball.  The team posted an outstanding sixty-two winning seasons in their first one hundred seasons, and until 1989, the Detroit Tigers only came in last place three times.  From 1907 to 1909, the Tigers managed to win the division championship each year, although they never managed to pull in the World Series win, losing out to National League competitors.  1934 gave the Tigers their first World Series win, which they quickly followed with another win in the 1935 season.  </p> 
<br/>
<p>
Throughout their history, the team has also boasted some of the greatest players in Major League Baseball, including Ty Cobb, Sam Crawford, Goose Goslin, Mickey Chochrane, Lou Whitaker, and Jack Morris.  Many also consider the team’s Old English “D” to be one of the most recognizable logos in sports.  </p> 
<br/>
<p>
Although the team has had disappointing seasons since the 1980s, fans still turn out in droves to watch the powerhouse Detroit Tigers play at Comericka Park in Detroit.   As the take in the game and cheer on their favorite players, anyone can see the fans’ pride in their team and their love of the game.  But, they are still holding out for that elusive World Series win!   
</p>",Images/detroit_tigers_tickets.jpg
Houston Astros,358,"Fans are hoping their 2008 season may be a chance at redemption for the Houston Astros at Minute Maid Park.  Pinning their hopes on players such as catcher Brad Ausmus, right-handed pitcher Doug Brocail, third baseman Mike Costanzo, and center fielder Michael Bourn, baseball fanatics are hoping the Astros may put their less than stellar past seasons behind them and usher in a new era of baseball domination.","<p>The Houston Astros, one of Major League Baseball’s newer franchises, has earned a loyal fan base since it was created in the early 1960s.   On April 10, 1962, the newly formed Astros played their first professional game against the Chicago Cubs, defeating the team in an 11-4 victory.   In 1965, the Houston Astros moved to their new home, the Astrodome, making the Astros the first Major League Baseball team to play in a dome.  </p> 
<br/>
<p>
Through the 1960s and 1970s, the Astros did not make baseball history, with disappointing seasons and no pennant wins, their fans still turned up to watch their favorite team and players battle it out.  Finally, Astros’ fans’ patience paid off.   In the 1990s, the Houston Astros played their best seasons ever, thanks to star players like Jeff Bagwell and Craig Biggio. In 1997, the team managed to bring home their first ever National League Central title.  The following season, the team won an astounding 102 games and set records for attendance, with more than 2.45 million fans turning up to cheer on their team.  1999 would be another stellar season for the Astros, with the team winning 97 games.  1999 also marked the team’s last year at the Astrodome.  The following year, 2000, would see the team playing their inaugural game and Minute Maid Park, formerly Enron field.  2001 saw the team sharing the National League title with the St. Louis Cardinals.   Since then, though, the team has done little to write home about.   
</p>",
New York Mets,605,"Though the last seven seasons have been disappointing for players and fans alike, the Mets still have a huge fan base that turns out in droves to watch the team play at Shea Stadium.  The 2008 season has been dedicated to Shea Stadium’s forty-five-year history, with the New York Mets players wearing commemorative patches on their jerseys celebrating the stadium’s long-standing history.  And besides honoring the stadium, the team is hoping new blood and a better pitching staff may lead the team to another winning seasons.   Either way, New York Mets games at Shea Stadium and at other ballparks around the country are sure to be a hot ticket in 2008!  ","<p>The New York Mets came to be in 1959, when New York attorney William Shea announced the team would be created as one of the first to play for the newly created Continental League.  The Mets played their first game in 1961 and had an auspicious first season, setting their first, and probably most embarrassing Major League Baseball record, becoming the first major league team to lose 120.  To this day, that record has still not been broken, much to the team’s disappointment.  In their first four seasons, the team posted an astonishing 452 defeats.  </p>  
<br/>
<p>
Luckily for the New York Mets, and their fans, the team managed to turn their performance around and, in the 1966 season, thanks in large part to a well-built pitching staff, the team began winning more than losing.   In 1969, the Mets pulled out what many still consider to be their greatest season ever, winning one hundred games.  1973 brought the New York Mets their first National League championship, but they were upset by the Oakland As in the final game of the World Series.  </p> 
<br/>
<p>
For the next ten years, the Mets delivered less than stellar performances, with no notable winning streaks or records.   That all changed when Davey Johnson took over as the team’s manager in 1983.  With his draft picks of Darryl Strawberry, Hubie Brooks, Wally Backman, Kevin Mitchell, Dwight Gooden, Ron Darling, Johnson was able to put together a winning team that took the nation by storm.  In 1986, the Mets won the division title, beating the Astros and battling the Boston Red Sox in the World Series, where they won the Series title. </p>  
<br/>
<p>
The Mets wouldn’t return to post-season play until 1999, when they won the wild card spot for the division playoffs, but in the end, they lost the pennant to the Braves.  And, in 2000, the team went all the way to the World Series, making it the first Subway Series in almost forty-five years!  However, the defending Yankees managed to take the World Series title home, leaving the Mets defeated once again.
</p>",
San Francisco Giants,759,"Fans are hoping the 2008 season will be better than 2007, when the team finished a dismal last in their division.   But, one thing is certain, fans will still be buying tickets for San Francisco Giant games at AT&T Park and a baseball venues around the country to watch as their team tries to battle its way back on top and show their true potential.","<p>The San Francisco Giants, previously the New York Gothams, arrived in San Francisco in 1958 to much fan fare and their new fans welcomed them to the city with much fanfare. When they moved into their new home in Candlestick Park, the team knew they were in California to stay! </p>
<br/>
<p>
In 1961, Willie Mays made team history by hitting four home runs in just one game.  Mays would go on to become one of the greatest Major League Baseball players of the era, and, in 1962, would help the team beat the favored Los Angeles Dodgers and advance to the team’s first World Series.   They would ultimately lose to the famed New York Yankees, setting the tone for the remainder of the decade, during which the team put out a less than stellar performance.</p>
<br/>
<p>
But, in 1971, the team made a dramatic comeback and fans with tickets to San Francisco Giants tickets were on hand to watch their team as they won their first division title.</p>
<br/>
<p>
During the 1980s, the only memorable event in San Francisco Giants history was the naming of Frank Robinson as General Manager in 1981.   Robinson was the first African-American manager in National League history.  The years from 1980 to 1987 were some of the worst in the team’s history, disappointing fans and players alike, until, in 1987, the team managed to pull out another division championship.   1989 brought another shot at a World Series win for the Giants, their first in thirty years.  Although the team was unable to win the title, fans hoped the Series would signal a change in fortune for the San Francisco Giants.   The addition of famed player Barry Bonds in 1992 further encouraged fans, but their hopes were trampled by a series of injuries and major losses.</p> 
<br/>
<p>
In 2001, Barry Bonds made baseball history by smashing through Mark McGwire’s home run record, hitting 73 runs in just one season.  Thanks in large part to Bonds’ skill as a hitter, the New York Giants were able to bring home their division title in 2000 and 2003.  They were National League champs in 2002, but ultimately lost to the California Angels.
</p>",
Washington Nationals,560,"The Washington Nationals will soon move to the brand new Nationals Stadium in southeast Washington D.C., slated to open in April, 2008.   Owners and players alike are hoping the new stadium with draw in more fans and help MLB fans sit up and take notice of the team, despite their less-than-notable performance since their arrival in the nation’s capital.  As the 2008 season gears up, the team is hoping the addition of Lastings Milledge and Tyler Clipp will breathe new life into the team and help them move higher in the League standings.","<p>The Washinton Nationals originated in Montreal, Quebec in 1969 as the Montreal Expos.  After lackluster performances in Canada, the team moved to Washington, D.C. in 2005, where they become the Washington Nationals.  The Nationals move was the first complete relocation in Major League Baseball since 1972, when the Washington Senators deserted Washington, D.C. to become the Texas Rangers.</p>
<br/>
<p>
Despite the fact that the Nationals are one of only four Major League Baseball teams to never win a league championship and earn the chance to play in the World Series, fans were hoping the team’s move might signify a fresh start and a chance to rebuild the team and increase its fan base.  But, the Nationals’ move was hotly contested by Baltimore Orioles owner Peter Angelos, who feared his team, which had been the only Major League Baseball franchise in the Baltimore/Washington region, would take a financial hit if the Nationals began to move in on his fan base.   The two teams managed to strike a deal that would protect the Orioles’ finances in 2005 and the Nationals began their run as the D.C. baseball team.</p>
<br/>
<p>
The Washington Nationals’ first game took place on April 4, 2005, at Citizens Ballpark against the Philadelphia Phillies.  The Nationals lost the game, 8-4, but, to those watching the game, it was obvious that baseball had arrived in D.C. and it was here to stay!   They played their first official home game on April 14 at RFK Stadium against the Arizona Diamondbacks, with President George W. Bush throwing out the ceremonial first pitch. 
</p>",
St. Louis Cardinals,807,"As the St. Louis Cardinals prepare for the 2008 season, fans with tickets to St. Louis Cardinals games at Busch Stadium and other baseball venues across the country are hoping their team will once again pull out a World Series win, defending their title as one of Major League Baseball’s greatest teams. ","<p>The St. Louis Cardinals, originally known as the St. Louis Browns, were formed as part of the American Association in 1882.  When the American Association folded just a few short years later, the St. Louis Cardinals became part of the National League, where they were called the St. Louis Perfectos.   Finally, in 1900, the team became the St. Louis Cardinals, as they are still known today.</p>
<br/>
<p>
The Cardinals soon had a strong following as the team won four American Association pennants in a row from 1885 to 1888. Fans showed up to St. Louis Cardinals games across the country to cheer on their favorite players and watch baseball history being made.  The St. Louis Cardinals won their first World Series title in 1886, and are now the second most successful team in Major League Baseball history, winning ten World Series titles, second only to the New York Yankees twenty-six Series wins.</p>
<br/>
<p>
After moving to the National League in 1892, the team found little success for the next thirty years, until, in 1920, general manager Branch Rickey began to use the minor league farm system to train players and began turning out some of baseball’s greatest players.  In 1926, the Cardinals would go on to win the World Series, beating out the favored New York Yankees.  The two teams would face off again in the 1928 World Series, with the Yankees avenging their earlier loss.</p>
<br/><p>
The St. Louis Cardinals won back-to-back pennants in 1930 and 1931, and managed to win the Series in 1931.  1934 brought the team another pennant and the World Series, against the Detroit Tigers.  In 1942, the St. Louis Cardinals would go on to make Major League Baseball history by winning a franchise record 106 games and beating out the Yankees again in the World Series.  The 1944 World Series was a first for the team as they battled their cross-town rivals, the St. Louis Browns, eventually winning their fifth World Series title.  In 1946, the team beat out the Boston Red Sox for another Series title, finishing out their winning streak until the 1964 season, when they would again return to the World Series and once again beat the New York Yankees. With the help of powerhouse pitcher Bob Gibson, the St. Louis Cardinals once again headed to the World Series, but lost out to the Detroit Tigers.  This would be the last time the St. Louis Cardinals advanced to the World Series for ten years.</p>
<br/>
<p>
The 1980s had the St. Louis Cardinals returning to their powerhouse ways, with the team reaching the World Series in 1982, 1985, and 1987.  After the 1987 series, the Cardinals fell out of the limelight, until the 1998, when slugger Mark McGwire broke the single series homerun record, hitting seventy home runs, battling against Chicago Cub Sammy Sosa to be the first player to break the previous record.</p>
<br/>
<p>
The first seven years of the twentieth century were a huge success for the St. Louis Cardinals, with the team winning the National League Central title six out of seven seasons, although they did not make it back to the World Series until 2004, when they were trounced by the Boston Red Sox.  In 2006 the St. Louis Cardinals were finally able to pull off the World Series win, beating the favored Detroit Tigers for the coveted title.</p>",
Philadelphia Phillies,672,"As the 2008 season begins, fans with tickets to Philadelphia Phillies games at Veterans Stadium are hoping the team will continue to improve, following their 2006 and 2007 third place finishes with even higher rankings, and maybe even winning that elusive World Series title again!","<p>The Philadelphia Phillies joined the National League in 1883 and immediately disappointed those hoping for a strong showing, losing 81 of 98 games in their first season.  Fans were not encouraged over the next few years, as the Philadelphia Phillies put for a disappointing effort for the remainder of the nineteenth century, and well into the twentieth.</p>
<br/>
<p>
Although Philadelphia Phillies games were largely efforts in futility as the team lost game after game, some of baseball’s greatest players played for the Phillies in the late nineteenth and early twentieth centuries, including outfielder Sam Thompson, Billy Hamilton, Big Ed Delahanty, and Elmer Flick.</p>
<br/>
<p>
From 1919 to 1947, the Philadelphia Phillies came in last in the league an amazing twenty-four out of twenty-nine seasons!   Although many fans gave up on the team, die hard Philadelphia Phillies fans still bought tickets for Philadelphia Phillies games, hoping to be there to witness their turnaround.  In 1950, their patience finally paid off when the Philadelphia Phillies finally won a pennant and advanced to the World Series.  Although the Phillies lost to the powerful New York Yankees, it seemed the team was finally starting to find their groove.</p>
<br/>
<p>
The 1970s were the Phillies’ greatest decade.   They managed to win the National League title in 1976, 1977, and 1978, although the World Series title was still out of reach, until 1980, when the Philadelphia Phillies finally won their first title against the Royals.  In 1983, thanks in large part to players Pete Rose, Tug McGraw, Steve Carlton, and Joe Morgan, the Philadelphia Phillies once again headed to the World Series, where the team faced off, and lost to, the Baltimore Orioles.</p>
<br/>
<p>
After the 1983 Series, the Philadelphia Phillies went into a time of transition, losing key players and struggling to build a stronger team.  In 1993, the team won their fifth National League title, but once again were beat out in the World Series.  </p>",
Toronto Blue Jays,877,"As the 2008 season approaches, the Toronto Blue Jays are hoping to improve on their 2007 third place finish.  With the help of pitcher A.J. Burnett, outfielder Matt Stairs, and left-hander David Purcey, the team may have a shot at the division title again and are sure to impress fans with their drive to rebuild their team and prove to the fans that the Toronto Blue Jays are still worth cheering for!","<p>The Toronto Blue Jays joined the Eastern Division of the American League as an expansion team in 1977.  Since the Montreal Expos’ 2004 move to Washinton D.C., the Blue Jays are now the only Major League Baseball team based in Canada.   The Blue Jays are also the only Canadian team to ever win a World Series.  Although fans were eager to take in Toronto Blue Jay games, the team had a disappointing showing their first season, finishing last in their division and winning only fifty-four games that year.  They continued their losing streak for the next few years, disappointing fans across Canada and the United States with their lackluster performance.  1982 was the first year the Toronto Blue Jays managed to pull themselves out of last place.</p>
<br/>
<p>
1983 saw the team improving, along with fans’ excitement for the team, as they finished in fourth place.  The winning trend continued in 1984, when the team finished a respectable second place.  And 1985 had the Toronto Blue Jays winning the first of five American League East division titles.</p>
<br/>
 <p>
The team experienced highs and lows over the next few years, but was still unable to pull out a ticket to the World Series, until 1992, when the Toronto Blue Jays finally won themselves a chance at the World Series and faced off against Atlanta Braves.  In an exciting series that came down to the eleventh inning in the final game, the Toronto Blue Jays became the first Canadian team in history to win the World Series.   They would repeat the feat in 1993, beating the Philadelphia Phillies for their second, and last, World Series win.  After their stunning 1993 World Series win, the Blue Jays were plagued by mediocre performances, losing streaks, and less than stellar rankings.  But, fans remained loyal, attending Toronto Blue Jays games at Rogers Centre, formerly as the Skydome, hoping their team’s record would improve and they might get a chance to watch the team bring the World Series title back to Canada once again.</p>",Images/toronto_blue_jays_tickets.jpg
Dallas Cowboys,214,,"<p>The Dallas Cowboys franchise is the most successful in the history of the National Football League. The Cowboys have played in more Super Bowls than any other NFL team, a total of 8. The Cowboys have won 5 Super Bowls, which leaves them tied at the top with San Francisco and Pittsburgh.</p>
<br/>
<p>Dallas was granted their NFL franchise on January 28th, 1960. They are based in the Dallas suburb of Irving, Texas. The team currently plays their home games at Texas Stadium in Irving, but they are scheduled to move to a new stadium in nearby Arlington in 2009.</p><br/>
<p>
In the initial months following their formation, the Dallas team was known as the “Steers.” They soon changed their name to the Cowboys prior to the start of the 1960 season.  </p>",
Alicia Keys,2032,,,Images/alicia_keys_tickets.jpg
Houston Rodeo,3990,,,Images/houston_rodeo_tickets.jpg
Jimmy Buffet,397,,,Images/jimmy_buffett_tickets.jpg
Jonas Bros,9000,,,Images/jonas_brothers_tickets.jpg
Kanye West,5284,,,Images/kanye_west_tickets.jpg
Tim McGraw,864,,,Images/tim_mcgraw_tickets.jpg
Tampa Bay Bucs,839,"The Tampa Bay Buccaneers sailed into the NFL in 1976, bringing professional football to the Bay area and the rowdy team of players into the hearts of area fans.  Although the Buccaneers were started as an NFL expansion team with few benefits and perks for players, coaches, and fans, the team was determined to prove their worth.  Despite their best efforts, fans at Tampa Bay Buccaneers games were sorely disappointed in the team’s first season, as they lost their first twenty-six games.  Their disappointing record continued for the team’s first three years as Tampa Bay Buccaneers ticket holders watched their team struggle to get their feet under them and overcome rookie mistakes and dismal playing.   Finally, in 1979, thanks in large part to the help of quarterback Doug Williams, the Buccaneers rallied, pulling of a surprising five-game winning streak in their first weeks of play.   Although they missed their chance at the playoffs, the team managed to pull off a 10-6 record for the 1979 season, giving fans at Tampa Bay Buccaneers games hope that their team might be made of the right stuff to succeed in the NFL.","<p>The team continued to play well for the next three years, finishing their 1982 season eligible for the playoffs, which they eventually lost to the Dallas Cowboys.  With the loss of quarterback Doug Williams just before the 1983 season, the Buccaneers seemed to fall apart, with lackluster performances making the team one of the worst in the league for the rest of the 1980s, and most of the 1990s. </p><br/>
<p>Finally, after the appointment of new head coach Tony Dungy in 1996, Tampa Bay Buccaneers games once again gave ticket holders something to cheer about.  As Dungy restored order to the team and introduced his innovative defense strategies, the Buccaneers began winning games, giving fans hope that their chance at a Super Bowl win might be in the near future.  </p><br/>
<p>Sure enough, in 2002, the Tampa Bay Buccaneers made their first appearance in the Super Bowl, thanks in large part to the efforts of new head coach Jon Gruden, beating the Oakland Raiders 48-21 in Super Bowl XXXVII.  </p><br/>
<p>Now, fans attending Tampa Bay Buccaneers games at Raymond James Stadium in Tampa hope to see their favorite team return to its 2002 glory, arriving to cheer on their favorite players, relive the memories of seasons past, and dream of more championship titles in the future.  </p>
",
Phil Eagles,669,"The Philadelphia Eagles may not be the most illustrious team in the NFL, but loyal fans are hanging onto their tickets and pinning their hopes on the team’s recent successes while praying for a winning 2008 season. ","<p>The Philadelphia Eagles were formed in 1933 after the Frankford Yellow Jackets went bankrupt, leaving the city searching for a new NFL franchise.  On October 15, 1933, the team played its first game, facing off against the New York Giants.  The Eagles lost the game, which became a frequent site for fans throughout the team’s first decade.  But, after the disappointments of the 1930s, the 1940s brought a welcome change, with three Eastern division crowns from 1947 to 1948 and consecutive league titles in 1948 and 1949.  </p><br/>
<p>But despite their successes in the 1940s, the change of decades brought a change of fortunes in the 1950s and the team struggled to remain at the top of the NFL standings, until 1959 when the Eagles were ranked second in the NFL.  The 1960s saw much of the same as the team fought losing battles both on the field and off, with the team hitting rock bottom in 1969 when the team was forced to declare bankruptcy.  All the rowdy Philadelphia fans could do was hope the 1970s would bring another change of fate, this time for the better.  </p><br/>
<p>Despite their move to the brand-new Veteran’s Stadium in 1971, the team spent most of the decade mired in mediocrity.   Finally, in 1979 the Philadelphia Eagles was tied for first place, and finally in 1980, the team made it to Super Bowl XV, where they faced off against the Oakland Raiders, ultimately losing the game.  </p><br/>
<p>For the next two decades, Philadelphia Eagles games continued to disappoint fans, with less-than-stellar standings and performances from the team’s players and few notable moments.  </p><br/>
<p>In 2003 the Philadelphia Eagles began playing their games at Lincoln Financial Field, which seemed to signal a new era for the Eagles as they made it all the way to the conference championship despite losing the first two games of the season.   From 2001 to 2005, the Philadelphia Eagles reached their fourth consecutive championship game, an impressive record, even if the team failed to win the Super Bowl crown.  </p><br/>
<p>After a fourth place finish in the 2007 standing, the Philadelphia Eagles, and their impatient fans, are hoping the team will make it all the way to the Super Bowl and finally bring home a win, making the team’s struggles finally seem worth it.  </p>",
